field,#,sea,status,HC type,PL/BAA,operator,HPHT,reservoir,development,group,formation,lithology,recovery,FactPageUrl,norwegian share,rec. oil,rec. gas,rec. ass. liq.,rec. OE,rem. oil,rem. gas,rem. ass. liq.,rem. OE,STOIIP,GIIP,in-place ass. liquid,in-place ass. gas,in-place free gas,in-place OE,in-place liq./OE ratio,in-place free gas/OE ratio,RF oil,RF liq.,RF gas,RF OE,maturity oil,maturity gas,maturity liq.,maturity OE,t10,t25,t50,t75,t90,t95,t100,prod. age,start year,rem. OE prod. years,est. total lifetime,est. rem. lifetime,est. P&A year,peak year,peak OE YPR,peak oil YPR,peak gas YPR,well num,prod. num,inj. num,obs. num,subsea index,lat,lon,depth min,depth mean,depth median,depth max,water depth,depth,p_h,p0,grad_p0,p0 checked,T0,GOR,oil FVF,gas FVF,oil PV0,gas PV0,HCPV0,gas PV0/HC PV0,rec. oil PV,rec. gas PV,rec. HCPV,CO2 SC,H2 SC,CO2 SC/well num,CO2 density RC,injectivity ind.,total score
HYME,53,NORWEGIAN,producing,oil,348,Equinor Energy AS,False,Hyme produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje and Ile Formations. The reservoir is at a depth of 2150 metres and has good quality.,"Hyme is a field in the southern part of the Norwegian Sea, 19 kilometres northeast of the Njord field. The water depth is 250 metres. Hyme was discovered in 2009, and the plan for development and operation (PDO) was approved in 2011. The field is developed with a subsea template including one production well and one water injection well. Hyme is connected to the Njord A facility. The production started in 2013 and stopped temporarily in 2016 when the Njord A facility was shut down and towed to land for reinforcement and modifications. Hyme resumed production again in April 2023.","Båt, Fangst","Tilje, Ile",clastic,The field is produced with pressure support from seawater injection. The production well is equipped with gas lift.,https://factpages.sodir.no/field/pageview/all/20474183,1.0,2.99,0.83,0.63,4.46,0.42,0.44,0.36,1.21,6.4,1.2,0.0,1.2,0.0,8.8,0.73,0.0,0.467,0.565,0.6917,0.5068,0.86,0.47,0.784,0.729,0.4121,1.0978,2.2359,,,,,5.083,2013.25,,12.594,7.511,2033.511,2015.0,1.055,0.937,0.118,4.0,2.0,1.0,1.0,1.0,64.3581595,7.5511965,2092.0,2160.5,2131.5,2287.0,256.0,2131.5,218.0,218.0,101.8,False,76.7,187.5,1.476105978500005,0.0052540763588159066,9.45,0.0,9.45,0.0,5.34,0.0,5.34,3.48,0.07,0.87,652.0,2201.0,0.0
IDUN NORD,54,NORWEGIAN,approved,gas,159 D,Aker BP ASA,False,The reservoir contains gas and condensate in sandstone of Middle Jurassic age in the Garn and Not Formations. It is at a depth of about 3500 metres and has good quality.,"Idun Nord is a field in the northern part of the Norwegian Sea, right east of the Skarv field. The water depth is 380 metres. Idun Nord was discovered in 2009, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with four slots tied-back to the Skarv floating production, storage and offloading vessel (FPSO).",Fangst,"Garn, Not",clastic,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002477,1.0,0.16,3.31,0.23,3.7,0.16,3.32,0.23,3.71,0.08,6.22,0.3,-4.49,6.2,8.31,0.05,0.543,2.0,1.021,0.5322,0.4452,0.0,-0.003,0.0,-0.003,,,,,,,,,2028.0,,7.8,7.8,2035.8,,,,,1.0,0.0,0.0,0.0,1.0,65.823417,7.718917,3832.0,3832.0,3832.0,3832.0,377.0,3500.0,391.1,470.0,134.0,True,121.1,290.5,1.7951654208850634,0.0034196058406002743,0.14,21.19,21.33,0.99,0.15,11.28,11.43,8.48,0.27,8.48,742.0,,0.0
IRPA,55,NORWEGIAN,approved,gas,327 B,Equinor Energy AS,False,"The reservoir contains gas in turbiditic sandstone of Late Cretaceous age in the Springar Formation, at a depth of 3200 metres. The reservoir properties are good.","Irpa is a field in the Vøring Basin in the Norwegian Sea, 80 kilometres west of the Aasta Hansteen field. The water depth is 1330 metres. Irpa was discovered in 2009, and the plan for development and operation (PDO) was approved in 2023. The development concept includes a subsea template with four slots tied-back to the existing Aasta Hansteen facility.",Shetland,Springar,clastic,The field will be produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/42002482,1.0,0.0,23.14,0.45,23.59,0.0,23.14,0.45,23.59,0.0,37.8,1.01,0.0,37.8,38.81,0.03,0.974,,0.446,0.6122,0.6078,,0.0,0.0,0.0,,,,,,,,,2028.0,,16.1,16.1,2044.1,,,,,1.0,0.0,0.0,0.0,1.0,67.016222,5.296611,3750.0,3750.0,3750.0,3750.0,1335.0,3200.0,382.8,350.0,109.1,True,111.4,,0.0,0.004062398073501194,0.0,153.56,153.56,1.0,0.0,94.0,94.0,63.43,1.76,63.43,675.0,,0.0
ISLAY,56,,producing,gas,ISLAY UNIT,TotalEnergies E&P UK Limited,False,Islay produces gas from Middle Jurassic sandstone in the Brent Group. The reservoir depth is 3700-3900 metres.,"Islay is a field on the boundary to the UK sector in the northern part of the North Sea, 55 kilometres west of the Oseberg field. The Norwegian share of the field is 5.51 per cent. The water depth is 120 metres. Islay was discovered in 2008, and the production started in 2012. The field is developed with one well tied to the Forvie manifold in the UK sector.",Brent,Brent,clastic,The field is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/21105675,0.055099999999999996,0.0,0.09,0.11,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.3,0.33,0.667,,1.09,0.45,0.6667,,1.0,1.0,1.0,0.2433,0.6128,1.2259,2.7485,5.9574,8.1361,10.9167,10.917,2012.333,0.0,,,,2013.0,0.035,0.005,0.031,1.0,,,,1.0,,,,,,,120.0,3800.0,,529.4,139.1,True,130.8,,0.0,0.0032612584399233503,0.0,0.65,0.65,1.0,0.0,0.29,0.29,0.22,0.01,3.99,753.0,,0.0
IVAR AASEN,57,NORTH,producing,oil/gas,IVAR AASEN UNIT,Aker BP ASA,False,Ivar Aasen produces oil from sandstone reservoirs. The field consists of the 16/1-9 Ivar Aasen discovery and the small 16/1-7 (West Cable) discovery. The reservoir in the Ivar Aasen discovery consists of fluvial sandstone of Late Triassic to Middle Jurassic age in the Skagerrak and Sleipner Formations and shallow marine sandstone in the Middle Jurassic Hugin Formation. The reservoir is at a depth of 2400 metres. It is compartmentalised and has moderate to good quality. Parts of the reservoir have an overlying gas cap. The reservoir in the West Cable discovery is in fluvial sandstone in the Middle Jurassic Sleipner Formation. It is at a depth of 2950 metres and has moderate quality.,"Ivar Aasen is a field in the northern part of the North Sea, 30 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Ivar Aasen was discovered in 2008, and the plan for development and operation (PDO) was approved in 2013. The development comprises a production, drilling and quarters (PDQ) platform with a steel jacket and a separate jack-up rig for drilling and completion. The production started in 2016. First stage processing is carried out on the Ivar Aasen platform, and the partly processed fluids are transported to the Edvard Grieg platform for final processing and export. The Hanz field is tied-back to Ivar Aasen. Since 2023, the Ivar Aasen platform receives power from shore through the area solution for the Utsira High.","Vestland, Hegre","Skagerrak, Sleipner, Hugin",clastic,The Ivar Aasen reservoir is produced by pressure support from water injection. The West Cable reservoir is produced by pressure depletion.,https://factpages.sodir.no/field/pageview/all/23384520,1.0,24.54,4.8,2.03,31.37,6.04,1.5,0.76,8.3,46.0,9.629999999999999,0.57,6.75,2.88,62.95,0.74,0.046,0.533,0.571,0.4984,0.4983,0.754,0.688,0.744,0.735,1.1083,2.3544,4.7339,,,,,9.083,2017.0,,23.083,14.0,2040.0,2018.0,3.909,3.27,0.639,29.0,20.0,9.0,0.0,0.0,58.922278827586204,2.198124034482759,2366.0,2500.9,2424.0,2945.0,112.7,2424.0,247.8,247.8,101.8,False,86.2,146.7,1.3778848880133396,0.004883481793704689,63.38,14.06,77.45,0.18,36.17,7.01,43.18,28.13,0.64,0.97,651.0,2584.0,0.0
JETTE,58,NORTH,shut down,oil,,,False,Jette produced oil from sandstone of late Paleocene age in the Heimdal Formation. The reservoir is in a marine fan system at a depth of 2200 metres.,"Jette is a field in the central part of the North Sea, six kilometres south of the Jotun field. The water depth is 127 metres. Jette was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field was developed with a subsea template with two production wells tied-in to the Jotun A facility. Production started in 2013.",Rogaland,Heimdal,clastic,The field was produced with natural pressure support from the aquifer.,https://factpages.sodir.no/field/pageview/all/21613906,1.0,0.43,0.01,0.0,0.44,0.0,0.0,0.0,0.0,2.7,0.3,0.0,0.3,0.0,3.3,0.82,0.0,0.159,0.159,0.0333,0.1333,1.0,1.0,1.0,1.0,0.1182,0.2414,0.6582,1.6853,2.8468,3.2045,3.6667,3.667,2013.417,0.0,,0.0,2017.0,2013.0,0.224,0.219,0.005,3.0,2.0,0.0,1.0,1.0,59.403660333333335,2.3697026666666665,2059.0,2103.0,2068.0,2182.0,126.0,2068.0,211.5,211.5,101.8,False,74.6,111.1,1.27464407997524,0.005351402853210565,3.44,0.0,3.44,0.0,0.55,0.0,0.55,0.36,0.01,0.12,653.0,636.0,0.0
JOHAN CASTBERG,59,BARENTS,producing,oil,532,Equinor Energy AS,False,"The reservoirs contain oil with gas caps in three separate sandstone deposits of Late Triassic to Middle Jurassic age in the Tubåen, Nordmela and Stø Formations. They are at depths of 1250-1900 metres. Reservoir properties in the Tubåen and Stø Formations are generally good; the Nordmela Formation is more heterogeneous with several lateral barriers.","Johan Castberg is a field in the Barents Sea, 100 kilometres northwest of the Snøhvit field. The water depth is 370 metres. Johan Castberg consists of the three discoveries Skrugard, Havis and Drivis, proven between 2011 and 2013. The plan for development and operation (PDO) was approved in 2018. The discoveries were developed together, and the development concept is a production, storage and offloading vessel (FPSO) with additional subsea templates including 18 horizontal production wells and 12 injection wells.",Realgrunnen,"Tubåen, Nordmela, Stø",clastic,The field is produced by pressure support from gas and water injection. ,https://factpages.sodir.no/field/pageview/all/32017325,1.0,95.42,0.0,0.0,95.42,88.84,0.0,0.0,88.84,188.74,12.65,0.0,12.65,0.0,214.04,0.88,0.0,0.506,0.506,0.0,0.4458,0.069,,0.069,0.069,,,,,,,,0.833,2025.25,,32.603,31.77,2057.77,2025.0,6.314,6.314,0.0,14.0,8.0,6.0,0.0,1.0,72.46826292857143,20.24318242857143,1282.9,1731.5,1825.4,2336.9,368.2,1825.4,186.8,186.8,101.8,False,66.8,67.0,1.1597071372498704,0.00580225210406294,218.88,0.0,218.88,0.0,110.66,0.0,110.66,72.21,1.34,5.16,653.0,,0.0
JOHAN SVERDRUP,60,NORTH,producing,oil,JOHAN SVERDRUP UNIT,Equinor Energy AS,False,"The main reservoir contains oil in Upper Jurassic intra-Draupne sandstone. The reservoir depth is 1900 metres. The quality of the main reservoir is excellent with very high permeability. The remaining oil resources are in sandstone in the Upper Triassic Statfjord Group and Middle to Upper Jurassic Vestland Group, as well as in spiculites in the Upper Jurassic Viking Group. Oil was also proven in Permian Zechstein carbonates.","Johan Sverdrup is a field on the Utsira High in the central part of the North Sea, 65 kilometres northeast of the Sleipner fields. The water depth is 115 metres. Johan Sverdrup was discovered in 2010 and the plan for development and operation (PDO) for Phase I was approved in 2015. The development solution for the first development phase is a field centre with four installations: living quarters, process, drilling and riser facilities. The four platforms are connected by bridges. The drilling platform has 48 well slots and is prepared for simultaneous drilling, well intervention and production. In 2019, the production from Phase I started and the PDO for Phase II was approved. It includes a process platform and five subsea templates, in addition to modifications on the riser platform. The production from Phase II started in 2022. Johan Sverdrup receives power from shore through the area solution for the Utsira High, and is therefore producing with very low CO2 emissions.",Viking,intra-Draupne,clastic,"The field is produced by water injection as pressure support, as well as gas lift in the production wells.",https://factpages.sodir.no/field/pageview/all/26376286,1.0,402.4,11.95,7.66,422.02,192.9,4.89,2.81,200.6,601.7,24.48,0.0,24.48,0.0,650.66,0.92,0.0,0.669,0.681,0.4882,0.6486,0.521,0.591,0.523,0.525,1.7252,3.7224,6.3008,,,,,6.25,2019.833,,40.577,34.327,2060.327,2024.0,43.739,42.401,1.339,59.0,36.0,23.0,0.0,0.278,58.8242966779661,2.571631457627119,1553.5,1896.2,1905.7,2006.0,113.4,1905.7,195.0,196.2,102.4,True,69.4,40.7,1.1032769556077306,0.005604848204816652,663.84,0.0,663.84,0.0,452.41,0.0,452.41,296.39,5.67,5.02,655.0,5989.0,0.0
JOTUN,61,NORTH,shut down,oil/gas,1203,Vår Energi ASA,False,Jotun produced oil from sandstone of Paleocene age in the Heimdal Formation. The reservoir is at a depth of 2000 metres in a marine fan system and comprises three structures.,"Jotun is a field in the central part of the North Sea, 25 kilometres north of the Balder field. The water depth is 125 metres. Jotun was discovered in 1994, and the plan for development and operation (PDO) was approved in 1997. The field was developed with Jotun A, a combined production, storage and offloading vessel (FPSO), and Jotun B, a wellhead facility. Jotun is integrated with the Balder field. The production started in 1999.",Rogaland,Heimdal,clastic,The field was produced by pressure support from the aquifer and with gas lift. Produced water was injected into the Utsira Formation.,https://factpages.sodir.no/field/pageview/all/43604,1.0,23.14,0.88,0.0,24.02,0.0,0.0,0.0,0.0,43.8,2.8,0.0,2.4,0.4,49.0,0.89,0.008,0.528,0.528,0.3143,0.4902,1.0,1.0,1.0,1.0,0.5019,0.9737,1.8096,3.7825,7.3503,10.0795,17.25,17.25,1999.833,0.0,,0.0,2017.0,2000.0,7.479,7.166,0.313,24.0,19.0,5.0,0.0,0.0,59.45104979166667,2.3668750833333334,2050.0,2097.0,2078.6,2366.0,127.0,2078.6,212.6,212.6,101.8,False,75.0,54.8,1.1388531607262027,0.005335506917554034,49.88,2.13,52.02,0.04,26.35,0.67,27.02,17.62,0.36,0.73,652.0,1897.0,0.0
KNARR,62,NORTH,shut down,oil,,,False,Knarr produced oil from Lower Jurassic sandstone in the Cook Formation. The reservoirs are at a depth of 3800 metres and have moderate to good quality.,"Knarr is a field in the northern part of the North Sea, 50 kilometres northeast of the Snorre field. The water depth is 400 metres. Knarr was discovered in 2008, and the plan for development and operation (PDO) was approved in 2011. The Knarr field consists of two segments, Knarr West and Knarr Central. The development comprised a floating production, storage and offloading vessel (FPSO) and two subsea templates, including six production and injection wells. The production started in 2015.",Dunlin,Cook,clastic,The field was produced with water injection for pressure maintenance.,https://factpages.sodir.no/field/pageview/all/20460988,1.0,9.64,0.41,1.22,11.27,0.0,0.0,0.0,0.0,32.27,4.1,0.0,4.1,0.0,40.47,0.8,0.0,0.299,0.336,0.1,0.2785,1.0,1.0,1.0,1.0,0.6929,1.3133,2.1,3.7276,5.61,6.2067,7.25,7.25,2015.25,0.0,,0.0,2022.417,2016.0,3.355,3.214,0.142,7.0,4.0,3.0,0.0,1.0,61.80514085714286,2.762104,3805.0,3932.7,3886.0,4044.0,408.3,3886.0,396.6,646.7,166.2,True,133.6,127.1,1.373587303335614,0.0029339944616098928,44.33,0.0,44.33,0.0,14.91,0.0,14.91,12.0,0.44,1.71,805.0,3286.0,0.0
KRISTIN,63,NORWEGIAN,producing,gas/oil,HALTENBANKEN VEST UNIT,Equinor Energy AS,True,"Kristin produces gas and condensate from Jurassic sandstone in the Garn, Ile and Tofte Formations. The reservoirs are at a depth of 4600 metres and initially had high pressure and high temperature (HPHT).","Kristin is a field in the Norwegian Sea, a few kilometres southwest of the Åsgard field. The water depth is 370 metres. Kristin was discovered in 1997, and the plan for development and operation (PDO) was approved in 2001. The field is developed with four 4-slot subsea templates tied-back to a semi-submersible facility for processing. The production started in 2005. An amended PDO was approved in 2007. The Tyrihans and Maria fields are tied to the Kristin facility. A PDO for Kristin South, including development of the Kristin Q segment and funnet 6406/2-1 Lavrans, was approved in 2022.","Båt, Fangst","Garn, Ile and Tofte",clastic,The field is produced by pressure depletion. Low pressure production was implemented in 2014.,https://factpages.sodir.no/field/pageview/all/1854729,1.0,28.01,37.22,16.96,82.17,2.63,8.08,3.08,13.78,70.4,120.6,19.4,0.0,120.6,210.4,0.43,0.573,0.398,0.501,0.3086,0.3905,0.906,0.783,0.873,0.832,1.2654,2.4562,5.6184,14.3768,,,,20.0,2005.917,19.0,36.553,16.553,2042.553,2008.0,9.963,6.023,3.94,16.0,16.0,0.0,0.0,1.0,64.966852875,6.447086375,4530.0,4759.4,4785.0,4874.0,353.5,4785.0,488.1,900.0,187.9,True,170.0,351.1,2.0028621628586603,0.002667088743466693,141.0,321.65,462.65,0.7,70.61,99.27,169.88,140.7,6.0,8.79,828.0,2449.0,0.0
